title,url
Data Titik Rawan Penyandang Masalah Kesejahteraan Sosial Tahun 2019,/dataset/data-titik-rawan-pmks-tahun-2019
Data Jumlah Kelompok Pusat Informasi dan Konseling (PIK) Remaja/ Mahasiswa di...,/dataset/data-kelompok-pusat-informasi-dan-konseling-pik-remaja-mahasiswa-dki-jakarta
Data Jumlah Penerima Manfaat Program Sanitasi Berbasis Masyarakat (Sanimas) B...,/dataset/data-sanimas-islamic-development-bank-idb
Data Program dan Kegiatan Dinas Sosial Provinsi DKI Jakarta Tahun 2019,/dataset/data-program-dan-kegiatan-dinas-sosial-provinsi-dki-jakarta-tahun-2019
Data Pusat Santunan Keluarga Dinas Sosial Provinsi DKI Jakarta,/dataset/data-pusaka-dinas-sosial-provinsi-dki-jakarta
"Data Petugas Pelayanan, Pengawasan, dan Pengendalian Sosial Dinas Sosial Prov...",/dataset/data-petugas-p3s-dinas-sosial-tahun-2019
Data Jumlah Penduduk Usia Kerja berdasarkan Jenis Kelamin dan Kelompok Umur P...,/dataset/jumlah-penduduk-berdasarkan-tenaga-kerja-jenis-kelamin-dan-umur
Data Pengurus Badan Usaha Milik Daerah Provinsi DKI Jakarta Tahun 2018,/dataset/data-pengurus-bumd-provinsi-dki-jakarta-tahun-2018
Data Peserta Keluarga Berencana Baru menurut Kabupaten/Kota di DKI Jakarta Ta...,/dataset/data-peserta-kb-baru-menurut-kabupaten-kota-di-dki-jakarta-2018
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-jenis-pelayanan-diberikan
Data Prasarana Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,/dataset/data-prasarana-dinas-pemuda-dan-olahraga
Data Jumlah Penumpang Transjakarta Tahun 2017,/dataset/data-jumlah-penumpang-transjakarta-tahun-2017
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-klien-anak-perempuan-dan-laki-laki
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-jenis-pekerjaan-pelaku
Data Peserta Keluarga Berencana Pasca Keguguran menurut Kabupaten/Kota di DKI...,/dataset/data-peserta-keluarga-berencana-pasca-keguguran-menurut-kabupaten-kota-di-dki-jakarta-2018
